id,Protein names,Gene names,PROlong_mean
1872,Protein phosphatase 1 regulatory subunit 11,PPP1R11,0.9147533333333333
1874,Nibrin,NBN,0.68931
1875,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase,RNGTT,0.9462366666666667
1876,"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7,0.8978233333333333
1877,Plexin-A2,PLXNA2,1.01241
1878,Immunoglobulin superfamily member 3,IGSF3,2.0029
1879,Putative tyrosine-protein phosphatase auxilin,DNAJC6,1.1606333333333334
1880,WD repeat-containing protein 1,WDR1,0.9915266666666667
1881,Slit homolog 1 protein,SLIT1,0.53495
1882,Rho-associated protein kinase 2,ROCK2,1.0631666666666666
1883,Copine-3,CPNE3,0.8711466666666666
1884,Huntingtin-interacting protein 1-related protein,HIP1R,0.9578033333333333
1885,E3 ubiquitin-protein ligase BRE1B,RNF40,0.9017733333333333
1886,Zinc finger CCCH domain-containing protein 11A,ZC3H11A,0.8234233333333333
1888,DnaJ homolog subfamily C member 13,DNAJC13,1.01632
1889,Serine/threonine-protein phosphatase 6 regulatory subunit 2,PPP6R2,1.4725666666666668
1890,CCR4-NOT transcription complex subunit 3,CNOT3,0.9648366666666667
1891,Ankyrin repeat domain-containing protein 17,ANKRD17,0.90096
1892,Paired amphipathic helix protein Sin3b,SIN3B,1.0041233333333333
1893,Xylulose kinase,XYLB,1.1124
1894,Gamma-glutamylcyclotransferase,GGCT,0.92919
1895,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,0.82761
1896,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,0.8580533333333333
1897,Protein NipSnap homolog 2,GBAS,0.94237
1898,Hyaluronan mediated motility receptor,HMMR,0.5403633333333333
1900,Programmed cell death protein 6,PDCD6,1.0127566666666667
1901,V-type proton ATPase subunit G 1,ATP6V1G1,1.102
1902,Vacuolar protein sorting-associated protein 4B,VPS4B,0.99768
1903,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,1.1034333333333333
1904,Filamin-B,FLNB,0.99266
1905,Filamin-B,FLNB,1.00817
1906,Nuclear receptor corepressor 1,NCOR1,1.0621399999999999
1907,Vesicle-associated membrane protein 4,VAMP4,1.1250333333333333
1908,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,0.96924
1909,Peroxisomal membrane protein PEX14,PEX14,1.1305333333333334
1910,Tripartite motif-containing protein 3,TRIM3,1.338
1911,Serine/threonine-protein kinase ULK1,ULK1,0.8801033333333333
1912,"39S ribosomal protein L33, mitochondrial",MRPL33,0.6995066666666666
1913,Vesicle-trafficking protein SEC22b,SEC22B,1.0574999999999999
1914,Pre-mRNA-processing factor 40 homolog A,PRPF40A,0.8613333333333333
1915,Cell division control protein 45 homolog,CDC45,1.0874233333333334
1916,Leucine-rich repeat and calponin homology domain-containing protein 4,LRCH4,0.70718
1917,Metaxin-2,MTX2,0.9948233333333334
1918,Vacuolar protein sorting-associated protein 26A,VPS26A,1.1018000000000001
1919,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,NDUFB1,0.93979
1921,PC4 and SFRS1-interacting protein,PSIP1,1.0762666666666667
1922,Erlin-1,ERLIN1,0.8188766666666667
1924,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,0.8644866666666667
1925,Serine/arginine-rich splicing factor 10,SRSF10,0.65973
1926,Heat shock factor-binding protein 1,HSBP1,1.4189
1928,Polycomb protein EED,EED,0.8732233333333334
1929,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1,1.4553
1930,Splicing factor 3B subunit 1,SF3B1,0.89048
1931,Cold shock domain-containing protein E1,CSDE1,0.74832
1932,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,PRKRA,1.0558833333333333
1934,E3 ubiquitin-protein ligase MYCBP2,MYCBP2,0.95645
1935,Nucleoplasmin-3,NPM3,0.81772
1936,Acyl-protein thioesterase 1,LYPLA1,0.95209
1937,"GTPase Era, mitochondrial",ERAL1,0.8881066666666667
1938,Protein CREG1,CREG1,1.2066
1939,U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,0.8591833333333333
1940,TIP41-like protein,TIPRL,1.1042666666666667
1941,Small subunit processome component 20 homolog,UTP20,1.1161333333333334
1942,Protein XRP2,RP2,0.9526100000000001
1943,WD repeat and HMG-box DNA-binding protein 1,WDHD1,0.856695
1944,Cartilage-associated protein,CRTAP,1.0253999999999999
1945,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,0.9855766666666667
1946,Renin receptor,ATP6AP2,1.0615
1947,Ribonuclease H2 subunit A,RNASEH2A,0.9376866666666667
1948,Cell division cycle protein 123 homolog,CDC123,1.1561333333333332
1949,Breast cancer anti-estrogen resistance protein 3,BCAR3,1.2793333333333334
1950,Eukaryotic translation initiation factor 3 subunit G,EIF3G,0.9290766666666667
1951,Eukaryotic translation initiation factor 3 subunit J,EIF3J,0.9235466666666666
1952,Carbonyl reductase [NADPH] 3,CBR3,1.0830333333333333
1953,CAAX prenyl protease 1 homolog,ZMPSTE24,0.9507066666666667
1955,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,1.3524
1956,Attractin,ATRN,1.3870333333333333
1957,Putative hydrolase RBBP9,RBBP9,1.0849666666666666
1958,Signal transducing adapter molecule 2,STAM2,0.9723133333333334
1959,Cyclin-K,CCNK,1.0750933333333335
1960,Short-chain dehydrogenase/reductase 3,DHRS3,0.8447066666666667
1961,PRA1 family protein 3,ARL6IP5,0.9913633333333334
1962,Pre-mRNA-splicing factor SPF27,BCAS2,0.9817366666666667
1963,Dynactin subunit 3,DCTN3,1.0326
1964,DnaJ homolog subfamily C member 8,DNAJC8,0.9581766666666667
1965,Survival of motor neuron-related-splicing factor 30,SMNDC1,0.92954
1966,"ATP synthase subunit d, mitochondrial",ATP5H,0.9393833333333333
1967,Flotillin-1,FLOT1,0.8190333333333333
1968,"ATP synthase subunit g, mitochondrial",ATP5L,0.9205666666666666
1969,Carboxypeptidase D,CPD,0.6520766666666666
1970,Glutaredoxin-3,GLRX3,0.9541966666666667
1971,Ribosomal L1 domain-containing protein 1,RSL1D1,0.6854233333333334
1972,Wolframin,WFS1,0.8581366666666667
1973,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,1.2021
1974,Probable cytosolic iron-sulfur protein assembly protein CIAO1,CIAO1,1.0967666666666667
1975,Signal recognition particle subunit SRP72,SRP72,0.9402333333333334
1976,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",DDAH1,0.9799533333333333
1977,Unconventional prefoldin RPB5 interactor 1,URI1,1.2206333333333332
1978,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,B3GAT3,1.0458
1979,Metastasis-associated protein MTA2,MTA2,0.8002233333333333
1980,Serine/threonine-protein kinase 10,STK10,1.0659333333333332
1982,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,GFPT2,1.1433333333333333
1983,E3 ubiquitin-protein ligase listerin,LTN1,0.9001366666666667
1984,Mitochondrial import receptor subunit TOM70,TOMM70A,0.95728
1985,Importin-13,IPO13,1.1089666666666667
1986,TOX high mobility group box family member 4,TOX4,0.90927
1987,Protein transport protein Sec24D,SEC24D,1.1545
1988,STAGA complex 65 subunit gamma,SUPT7L,0.97952
1989,E3 UFM1-protein ligase 1,UFL1,1.1688
1990,SAM and SH3 domain-containing protein 1,SASH1,1.0063499999999999
1991,CSC1-like protein 1,TMEM63A,0.7988566666666667
1992,UBX domain-containing protein 7,UBXN7,1.0526866666666668
1994,Proline synthase co-transcribed bacterial homolog protein,PROSC,1.0974333333333333
1995,Erlin-2,ERLIN2,0.9887366666666667
1996,Pre-mRNA-processing factor 6,PRPF6,0.89129
1997,Pre-mRNA cleavage complex 2 protein Pcf11,PCF11,0.8878933333333333
1998,Protein furry homolog-like,FRYL,1.0403666666666667
1999,Endonuclease domain-containing 1 protein,ENDOD1,1.0433633333333334
2001,"Glutaminase kidney isoform, mitochondrial",GLS,0.9828533333333334
2002,HAUS augmin-like complex subunit 5,HAUS5,1.1447500000000002
2003,Ubiquitin carboxyl-terminal hydrolase 19;Ubiquitin carboxyl-terminal hydrolase,USP19,1.1648666666666667
2004,AP-2 complex subunit alpha-2,AP2A2,1.1131666666666666
2005,Protein HEXIM1,HEXIM1,0.8744666666666667
2007,Ribonuclease P protein subunit p14,RPP14,0.9134366666666667
2008,Protein YIF1A,YIF1A,1.1674333333333333
2009,E3 ubiquitin-protein ligase UBR5,UBR5,0.8552333333333334
2010,Serine protease 23,PRSS23,0.97144
2011,"Splicing factor, arginine/serine-rich 15",SCAF4,0.9873833333333333
2012,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,1.0976333333333332
2013,Mitofusin-2,MFN2,1.1309
2015,Snurportin-1,SNUPN,0.9779849999999999
2016,Ubiquitin conjugation factor E4 B,UBE4B,0.9703433333333333
2017,Zinc finger protein-like 1,ZFPL1,1.0956666666666666
2018,Elongator complex protein 1,IKBKAP,0.93844
2019,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,NDUFA3,0.8098866666666666
2020,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,0.75637
2021,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",NDUFB8,0.81436
2022,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,0.71887
2023,Vesicle-associated membrane protein 5,VAMP5,1.2403666666666666
2024,Reticulon-3,RTN3,1.0367666666666666
2025,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,0.97036
2026,Muscleblind-like protein 2,MBLL;MBNL2,0.93704
2028,Sorting nexin-4,SNX4,1.0314
2029,Luc7-like protein 3,LUC7L3,0.8505833333333334
2030,Kinesin-like protein KIF20A;Kinesin-like protein,KIF20A,0.620145
2031,Chromosome-associated kinesin KIF4A,KIF4A,0.5716233333333334
2032,Histone acetyltransferase KAT7;Histone acetyltransferase,KAT7,0.9241699999999999
2033,Cyclin-D1-binding protein 1,CCNDBP1,1.4136666666666668
2034,Vesicle-associated membrane protein-associated protein B/C,VAPB,1.0723666666666667
2035,SNARE-associated protein Snapin,SNAPIN,1.1875333333333333
2036,Myelin protein zero-like protein 1,MPZL1,0.9645233333333333
2037,"NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",NDUFC2;KCTD14;NDUFC2-KCTD14,0.79893
2038,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,1.2104666666666668
2039,6-phosphogluconolactonase,PGLS,0.98958
2040,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS2,1.0759333333333332
2041,Structural maintenance of chromosomes protein 2,SMC2,0.8848866666666666
2042,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,1.0827333333333333
2043,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,1.1942333333333333
2044,Acyl-protein thioesterase 2,LYPLA2,0.90771
2045,Importin-7,IPO7,0.9128066666666667
2046,E3 ubiquitin-protein ligase ARIH2,ARIH2,1.1166666666666667
2047,Pre-mRNA-splicing factor SLU7,SLU7,0.7332966666666667
2048,Phosphoacetylglucosamine mutase,PGM3,1.1426
2049,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,MOCS3,1.3264333333333334
2050,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,1.03134
2052,Supervillin,SVIL,1.0015933333333333
2053,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,1.0081166666666668
2054,Poly(A)-specific ribonuclease PARN,PARN,0.75576
2055,Proteasome assembly chaperone 1,PSMG1,1.0604
2056,Sphingosine-1-phosphate lyase 1,SGPL1,0.9539533333333333
2057,Ribosome biogenesis protein NSA2 homolog,NSA2,0.4585633333333333
2058,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,H6PD,1.4176333333333333
2059,Protein transport protein Sec24A,SEC24A,0.9390066666666667
2060,Protein transport protein Sec24B,SEC24B,0.9543666666666667
2061,Vesicle transport protein SFT2B,SFT2D2,1.2794666666666668
2062,Mitochondrial pyruvate carrier 2,MPC2,1.1963
2063,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,0.9911166666666666
2064,Long-chain-fatty-acid--CoA ligase 3,ACSL3,1.2897666666666667
2065,Pericentrin,PCNT,0.6877466666666666
2066,STAM-binding protein,STAMBP,1.0287833333333334
2068,Protein phosphatase 1 regulatory subunit 3D,PPP1R3D,1.1568333333333334
2069,Ribonuclease P protein subunit p29,POP4,0.87359
2070,E3 ubiquitin-protein ligase HERC2,HERC2,1.2550333333333332
2071,Ras-related protein Rab-3D,RAB3D,1.4617666666666667
2072,Synaptosomal-associated protein 29;Synaptosomal-associated protein,SNAP29,1.1137000000000001
2073,Serine/threonine-protein kinase OSR1,OXSR1,1.0655333333333332
2074,Geranylgeranyl pyrophosphate synthase,GGPS1,1.1262666666666665
2075,Heat shock 70 kDa protein 4L,HSPA4L,1.0381333333333334
2076,U6 snRNA-associated Sm-like protein LSm8,LSM8,0.89775
2077,AP-2 complex subunit alpha-1,AP2A1,0.9797433333333334
2078,Double-stranded RNA-binding protein Staufen homolog 1,STAU1,0.8104833333333333
2079,Tetratricopeptide repeat protein 4,TTC4,1.0095633333333334
2080,BAG family molecular chaperone regulator 2,BAG2,1.0310333333333332
2081,BAG family molecular chaperone regulator 3,BAG3,0.9789166666666667
2082,"Malonyl-CoA decarboxylase, mitochondrial",MLYCD,1.03725
2083,Quinone oxidoreductase-like protein 1,CRYZL1,1.0551066666666666
2084,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,0.9523366666666667
2086,Tetraspanin-13,TSPAN13,1.0390166666666667
2087,"3(2),5-bisphosphate nucleotidase 1",BPNT1,1.0045033333333333
2088,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,2.2252
2089,Thioredoxin domain-containing protein 12,TXNDC12,1.0145066666666667
2091,Methyl-CpG-binding domain protein 3,MBD3,0.8316066666666667
2092,DNA topoisomerase 3-beta-1;DNA topoisomerase,TOP3B,0.9717666666666667
2093,Diphosphoinositol polyphosphate phosphohydrolase 1,NUDT3,1.1452666666666667
2094,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,1.0532333333333335
2095,Cleft lip and palate transmembrane protein 1,CLPTM1,1.0131666666666668
2096,Molybdopterin synthase catalytic subunit,MOCS2,0.91708
2097,Mitochondrial import receptor subunit TOM40 homolog,TOMM40,0.88954
2098,Peroxisomal membrane protein 11B,PEX11B,0.9447733333333334
2099,Serine/threonine-protein kinase PAK 4,PAK4,1.05145
2101,Actin-like protein 6A,ACTL6A,0.8634166666666667
2102,Molybdopterin synthase sulfur carrier subunit,MOCS2,1.0555666666666668
2103,Cytochrome b,MT-CYB,1.0279033333333334
2104,Cytochrome b5,CYB5A,0.9695699999999999
2105,L-lactate dehydrogenase A chain,LDHA,0.9887499999999999
2106,"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial",GLUD1;GLUD2,0.9663133333333334
2107,Dihydrofolate reductase,DHFR,0.28468666666666664
2108,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,CYB5R3,1.0555333333333332
2109,"Glutathione reductase, mitochondrial",GSR,1.0427666666666666
2110,Cytochrome c oxidase subunit 1,MT-CO1,1.0349633333333332
2111,Cytochrome c oxidase subunit 2,MT-CO2,1.00025
2112,Superoxide dismutase [Cu-Zn],SOD1,1.0809333333333333
2113,Purine nucleoside phosphorylase,PNP,1.0431
2114,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,0.92824
2115,"Aspartate aminotransferase, mitochondrial",GOT2,1.00064
2116,Epidermal growth factor receptor;Receptor protein-tyrosine kinase,EGFR,0.98323
2117,Phosphoglycerate kinase 1,PGK1,1.0605666666666667
2118,Adenylate kinase isoenzyme 1,AK1,0.9814666666666667
2119,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B,PLAT,1.02554
2120,Adenosine deaminase,ADA,1.2156333333333333
2121,ATP synthase subunit a,MT-ATP6,0.9288
2122,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,SERPINA3,2.4085
2123,Alpha-2-macroglobulin,A2M,1.2062333333333333
2124,Metalloproteinase inhibitor 1,TIMP1,1.3391666666666666
2125,Cystatin-C,CST3,2.003566666666667
2126,"Cystatin-A;Cystatin-A, N-terminally processed",CSTA,0.6461633333333333
2127,GTPase NRas,NRAS,1.0398733333333334
2128,"GTPase HRas;GTPase HRas, N-terminally processed",HRAS,0.8955866666666666
2129,"GTPase KRas;GTPase KRas, N-terminally processed",KRAS,1.0422500000000001
2131,Collagen alpha-1(IV) chain;Arresten,COL4A1,0.91911
2132,Prelamin-A/C;Lamin-A/C,LMNA,1.0070133333333333
2133,Prelamin-A/C;Lamin-A/C,LMNA,1.01228
2134,Apolipoprotein E,APOE,4.5331
2135,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1,1.0044133333333334
2136,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,1.0352333333333334
2137,Ferritin light chain;Ferritin,FTL,0.41017
2138,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,0.9222
2139,NADH-ubiquinone oxidoreductase chain 2,MT-ND2,0.8071366666666667
2141,NADH-ubiquinone oxidoreductase chain 4,MT-ND4,0.9311566666666666
2142,NADH-ubiquinone oxidoreductase chain 5,MT-ND5,0.7369766666666666
2144,ATP synthase protein 8,MT-ATP8,0.8675999999999999
2145,Catalase,CAT,1.8141666666666667
2146,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,1.0471
2147,Cystatin-B,CSTB,1.0863666666666667
2148,Annexin A1,ANXA1,1.0845666666666667
2149,Glucocorticoid receptor,NR3C1,1.0212133333333333
2150,"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form",OAT,1.4753666666666667
2151,HLA class II histocompatibility antigen gamma chain,CD74,1.1896666666666667
2154,Protein S100-B,S100B,1.0718333333333334
2155,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,0.9728066666666667
2156,Argininosuccinate lyase,ASL,1.0975333333333332
2158,Heat shock protein beta-1,HSPB1,1.3481333333333334
2159,Thymidylate synthase,TYMS,0.7460533333333333
2160,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,0.9162133333333333
2161,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,0.9322366666666667
2162,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,0.91373
2163,Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E,HIST1H2AC;HIST3H2A;HIST1H2AB,0.9832650000000001
2164,Anion exchange protein 2;Anion exchange protein,SLC4A2,1.05417
2165,Glycophorin-C,GYPC,1.0785
2166,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,0.8023966666666666
2167,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,0.8724333333333333
2168,Integrin beta-3;Integrin beta,ITGB3,1.2238666666666667
2169,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,0.9748933333333333
2170,Ubiquitin-like protein ISG15,ISG15,1.0233700000000001
2171,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA,1.1092666666666666
2172,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,0.92789
2173,Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3,HMGN2;HMGN3,1.05747
2174,Fibroblast growth factor 1,FGF1,1.0903200000000002
2175,Intercellular adhesion molecule 1,ICAM1,1.5428333333333333
2176,60S acidic ribosomal protein P1,RPLP1,0.8179299999999999
2177,60S acidic ribosomal protein P2,RPLP2,0.8365666666666667
2178,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,0.8480966666666667
2180,DNA-directed RNA polymerase III subunit RPC4,POLR3D,0.9360633333333334
2181,Lupus La protein,SSB,0.9835400000000001
2182,Integrin beta-1,ITGB1,1.0983666666666667
2183,"Myosin light chain 1/3, skeletal muscle isoform;Myosin light chain 3",MYL1;MYL3,1.0294333333333334
2184,Uroporphyrinogen decarboxylase,UROD,1.01938
2185,Alpha-galactosidase A,GLA,0.8916166666666667
2187,Retinoblastoma-associated protein,RB1,0.8694966666666667
2188,Cyclin-dependent kinase 1,CDK1;CDC2,0.7956333333333333
2189,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,0.8589633333333333
2190,Protein S100;Protein S100-A6,S100A6,1.01808
2191,Eukaryotic translation initiation factor 4E,EIF4E,0.9444933333333334
2192,Alpha-enolase,ENO1,1.0202
2193,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",PYGL,1.1032333333333333
2194,Glucose-6-phosphate isomerase,GPI,1.01271
2195,Nucleophosmin,NPM1,0.83742
2196,,TPM3;DKFZp686J1372,0.99217
2199,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,ITGAV,1.1275
2200,Lipoprotein lipase,LPL,2.2231666666666667
2201,Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B,HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST3H2BB,0.9007433333333333
2202,Glia-derived nexin,SERPINE2,2.068766666666667
2203,Glia-derived nexin,SERPINE2,1.2198
2204,Epoxide hydrolase 1,EPHX1,1.1048
2205,Acyl-CoA-binding protein,DBI,1.0635
2207,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,1.0109133333333333
2208,Neurofilament light polypeptide,NEFL,1.1476333333333333
2210,Protein disulfide-isomerase,P4HB,1.102
2211,"Histone H1.0;Histone H1.0, N-terminally processed",H1F0,0.80128
2212,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,1.3187666666666666
2213,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,0.7019866666666666
2214,Calpain-1 catalytic subunit,CAPN1,1.0378
2215,Tubulin beta chain,TUBB,0.9643233333333333
2216,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,1.1776933333333333
2217,Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A,HEXB,0.9390666666666667
2218,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,CTSL,2.4837
2219,Profilin-1,PFN1,1.049
2220,Bisphosphoglycerate mutase,BPGM,1.2605666666666668
2221,Adenine phosphoribosyltransferase,APRT,1.0471666666666666
2222,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,1.0783666666666667
2223,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,1.0626633333333333
2224,Heat shock protein HSP 90-alpha,HSP90AA1,1.0332333333333332
2225,"Uromodulin;Uromodulin, secreted form",UMOD,0.8044
2226,"Cytochrome b-c1 complex subunit 6, mitochondrial",UQCRH,1.203
2227,Tyrosine-protein kinase Lyn;Non-specific protein-tyrosine kinase;Tyrosine-protein kinase HCK,LYN;HCK,0.85885
2229,"Fumarate hydratase, mitochondrial",FH,1.0092733333333332
2230,Thrombospondin-1,THBS1,0.6291966666666666
2231,Transcription factor Sp1,SP1,0.82081
2232,Annexin A6;Annexin,ANXA6,1.2141333333333333
2233,Rho-related GTP-binding protein RhoC,RHOC,1.0286666666666666
2234,4F2 cell-surface antigen heavy chain,SLC3A2,0.99369
2235,Beta-glucuronidase,GUSB,1.0974
2236,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,1.0881666666666667
2237,Heat shock protein HSP 90-beta,HSP90AB1,1.0365
2238,Signal recognition particle receptor subunit alpha,SRPR,1.0026833333333334
2239,Asparagine synthetase [glutamine-hydrolyzing],ASNS,1.3297333333333334
2240,Extracellular superoxide dismutase [Cu-Zn],SOD3,1.7917333333333334
2241,Matrix Gla protein,MGP,1.19095
2242,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,1.0042066666666667
2243,Collagen alpha-2(IV) chain;Canstatin,COL4A2,1.1497333333333333
2244,"Cytochrome c1, heme protein, mitochondrial",CYC1,1.1850333333333334
2245,U2 small nuclear ribonucleoprotein B,SNRPB2,0.8354733333333333
2246,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,0.8187566666666667
2247,Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain,ITGA5,1.3189333333333333
2248,Nuclear factor 1 C-type,NFIC,0.89328
2249,Vimentin,VIM,1.0301333333333333
2250,40S ribosomal protein S17,RPS17,0.9158499999999999
2251,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,0.9117466666666666
2252,Annexin A5;Annexin,ANXA5,0.9650533333333333
2253,U1 small nuclear ribonucleoprotein A,SNRPA,0.80908
2254,Gamma-enolase;Enolase,ENO2,1.1258
2255,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,1.1076666666666668
2256,Glutathione S-transferase P,GSTP1,1.0726
2257,Galectin-1,LGALS1,1.1171333333333333
2258,Dihydropteridine reductase,QDPR,1.1169
2259,High mobility group protein B1,HMGB1,0.8965466666666667
2260,Guanine nucleotide-binding protein G(o) subunit alpha,GNAO1,0.8771033333333333
2261,SPARC,SPARC,2.0582666666666665
2262,Glutathione S-transferase Mu 1,GSTM1,1.1304
2264,Tropomyosin alpha-1 chain,TPM1,0.9009966666666667
2265,Clathrin light chain A,CLTA,1.0236133333333333
2266,Clathrin light chain B,CLTB,0.9623200000000001
2267,Annexin A4;Annexin,ANXA4,1.0643
2268,"2,3-cyclic-nucleotide 3-phosphodiesterase",CNP,1.0138333333333334
2269,Heme oxygenase 1,HMOX1,5.1584
2270,"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase",DLD,1.0043466666666667
2271,U2 small nuclear ribonucleoprotein A,SNRPA1,0.8262466666666667
2272,Cytochrome c oxidase subunit 6C,COX6C,1.0261533333333333
2273,Poly [ADP-ribose] polymerase 1,PARP1,0.9072233333333333
2274,Leukotriene A-4 hydrolase,LTA4H,1.0470333333333333
2275,Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase,ALDOC,1.1681333333333332
2276,FRAS1-related extracellular matrix protein 3,FREM3,0.80964
2277,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",CISD3,0.91174333333333335
2278,Trafficking protein particle complex subunit 2B;Trafficking protein particle complex subunit 2,TRAPPC2B;TRAPPC2,1.0602333333333334
2281,Splicing factor U2AF 35 kDa subunit;Splicing factor U2AF 26 kDa subunit,U2AF1;U2AF1L4,0.9194066666666667
2282,Cystathionine beta-synthase,CBS,1.1846333333333332
2283,"Adrenodoxin, mitochondrial",FDX1,1.3701666666666668
2284,60 kDa SS-A/Ro ribonucleoprotein,TROVE2,1.0363666666666667
2285,Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase,GAA,0.91705
